交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價外%,隱含波動率
2023/12/20,TXO,202312W4,17000,買權,530,550,480,500,1234,505,5000,499,501,600,10,N,0.05,20.5
2023/12/20,TXO,202312W4,17000,賣權,20,30,15,25,567,24,3000,23,25,100,5,N,-0.02,18.0
2023/12/20,TXO,202401,17500,買權,250,280,230,260,890,262,8000,259,261,300,50,N,0.03,19.0
2023/12/20,TEO,202312W4,17000,買權,30.5,35,30,32,100,32.2,200,31.8,32.1,N/A,N/A,N,0.01,22.1
2023/12/20,TEO,202312W4,16800,賣權,8,10,7.5,9,50,8.8,150,8.7,9,N/A,N/A,N,-0.005,25.0
# 檔案末尾可以有一些註解或空行，測試解析器的魯棒性

# 這是範例檔案，欄位內容和類型可能需要根據實際TAIFEX格式調整
# 特別是數字欄位的千分位逗號，此範例未包含，但 taifex_format_catalog.json 中有 thousands: "," 的配置
# 如果實際檔案有逗號，解析時應能正確處理
# 隱含波動率等欄位可能是 N/A，解析時也需注意
# "價外%" 欄位可能是百分比表示的浮點數
# "是否因訊息面暫停交易" 可能是 Y/N/空白
# "契約" 例如 TXO (台指選擇權), TEO (電子選擇權), TFO (金融選擇權)
# "到期月份(週別)" 例如 202312 (月合約), 202312W4 (第四週週合約)
# "買賣權" 可能是 "買權" (Call) 或 "賣權" (Put)
# "交易日期" 格式可能是 YYYY/MM/DD
